paper_id,paper_title,paper_link,year,list_of_staff,number_of_staff,staff_name1,staff_dept1,staff_title1,staff_name2,staff_dept2,staff_title2,staff_name3,staff_dept3,staff_title3
1,FairHash: A Fair and Memory/Time-efficient Hashmap,https://dl.acm.org/doi/pdf/10.1145/3654939,2024,"['Asudeh, Abolfazl', 'Sintos, Stavros']",2,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,"Sintos, Stavros",Department of Computer Science,Assistant Professor,,,
2,Data distribution tailoring revisited: cost-efficient integration of representative data,https://par.nsf.gov/servlets/purl/10545481,2024,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
3,Coverage-based Data-centric Approaches for Responsible and Trustworthy AI,https://par.nsf.gov/servlets/purl/10554107,2024,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
4,Shapley Values for Explanation in Two-sided Matching Applications,https://openproceedings.org/2024/conf/edbt/paper-172.pdf,2024,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
5,Reliability Evaluation of Individual Predictions: A Data-centric Approach,https://arxiv.org/pdf/2204.07682,2024,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
6,Representation bias in data: A survey on identification and resolution techniques,https://www.researchgate.net/profile/Abolfazl-Asudeh/publication/359410795_A_Survey_on_Techniques_for_Identifying_and_Resolving_Representation_Bias_in_Data/links/627956ab973bbb29cc6ec446/A-Survey-on-Techniques-for-Identifying-and-Resolving-Representation-Bias-in-Data.pdf,2023,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
7,Maximizing Neutrality in News Ordering,https://dl.acm.org/doi/pdf/10.1145/3580305.3599425,2023,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
8,Next-generation Challenges of Responsible Data Integration,https://dl.acm.org/doi/pdf/10.1145/3539597.3572727,2023,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
9,Towards Distribution-aware Query Answering in Data Markets,https://vldb.org/pvldb/vol15/p3137-asudeh.pdf,2022,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
10,Responsible data integration: Next-generation challenges,https://dl.acm.org/doi/pdf/10.1145/3514221.3522567,2022,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
11,Fairness-aware range queries for selecting unbiased data,https://indigo.uic.edu/articles/conference_contribution/Fairness-Aware_Range_Queries_for_Selecting_Unbiased_Data/20246178/1/files/36180120.pdf,2022,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
12,On Finding Rank Regret Representatives,https://dl.acm.org/doi/fullHtml/10.1145/3531054,2022,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
13,Perturbation-based Detection and Resolution of Cherry-picking,https://par.nsf.gov/servlets/purl/10300669,2021,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
14,Tailoring data source distributions for fairness-aware data integration,http://www.vldb.org/pvldb/vol14/p2519-nargesian.pdf,2021,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
15,Identifying insufficient data coverage for ordinal continuous-valued attributes,https://dl.acm.org/doi/pdf/10.1145/3448016.3457315,2021,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
16,Scalable signal reconstruction for a broad range of applications,https://dl.acm.org/doi/pdf/10.1145/3441689,2021,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
17,Fairly evaluating and scoring items in a data set,http://www.vldb.org/pvldb/vol13/p3445-asudeh.pdf,2020,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
18,Orca-SR: A Real-Time Traffic Engineering Framework leveraging Similarity Joins,http://www.vldb.org/pvldb/vol13/p2977-augustine.pdf,2020,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
19,Mithracoverage: a system for investigating population bias for intersectional fairness,https://par.nsf.gov/servlets/purl/10186504,2020,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
20,Scalable algorithms for signal reconstruction by leveraging similarity joins,https://drive.google.com/file/u/0/d/1iOOADlAxjMNqdYENbdQ_fqv27jzh6eBI/view,2020,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
21,On detecting cherry-picked trendlines,http://www.vldb.org/pvldb/vol13/p939-asudeh.pdf,2020,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
22,Identifying insufficient data coverage in databases with multiple relations,http://www.vldb.org/pvldb/vol13/p2229-lin.pdf.,2020,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
23,A Unified Optimization Algorithm For Solving “Regret-Minimizing Representative” Problems,http://www.vldb.org/pvldb/vol13/p239-shetiya.pdf,2020,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
24,Mithralabel: Flexible dataset nutritional labels for responsible data science,https://dl.acm.org/doi/pdf/10.1145/3357384.3357853,2019,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
25,RRR: Rank-regret representative,https://dl.acm.org/doi/pdf/10.1145/3299869.3300080,2019,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
26,Designing fair ranking schemes,https://dl.acm.org/doi/pdf/10.1145/3299869.3300079,2019,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
27,Maximizing Gain over Flexible Attributes in Peer to Peer Marketplaces,https://drive.google.com/file/u/0/d/1Isqhyh1B5hr5rm8GmiPlKdhDIPVkyUnS/view,2019,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
28,Assessing and remedying coverage for a given dataset,https://arxiv.org/pdf/1810.06742,2019,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
29,Efficient Signal Reconstruction for a Broad Range of Applications,https://par.nsf.gov/servlets/purl/10202925,2019,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
30,Towards responsible data-driven decision making in score-based systems,https://par.nsf.gov/servlets/purl/10186507,2019,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
31,ApproxML: Efficient Approximate Ad-Hoc ML Models Through Materialization and Reuse,http://www.vldb.org/pvldb/vol12/p1906-hasani.pdf,2019,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
32,MithraRanking: A System for Responsible Ranking Design,https://dl.acm.org/doi/pdf/10.1145/3299869.3320244,2019,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
33,A nutritional label for rankings,https://dl.acm.org/doi/pdf/10.1145/3183713.3193568,2018,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
34,Leveraging Similarity Joins for Signal Reconstruction,http://www.vldb.org/pvldb/vol11/p1276-asudeh.pdf,2018,"['Asudeh, Abolfazl']",1,"Asudeh, Abolfazl",Department of Computer Science,Associate Professor,,,,,,
